Link Text,URL
Faculty Affairs,https://pec.ac.in/faculty-affairs
Faculty Handbook,https://pec.ac.in/sites/default/files/uploads/facultyhandbook_0.pdf
Click here for List,https://pec.ac.in/sites/default/files/uploads/seniority_list_HAS_faculty_27-11-15.pdf
Vacation Leave – Faculty,http://pec.ac.in/sites/default/files/uploads/vacation_leave_form_faculty_updated.pdf
Electrical Engineering,http://pec.ac.in/sites/default/files/uploads/faculty_ee_18-19-revised.pdf
Electronics and Communication Engineering,http://pec.ac.in/sites/default/files/uploads/faculty_ee_18-19.pdf
Production and Industrial Engineering,http://pec.ac.in/sites/default/files/uploads/faculty_pie_18-19.pdf
Guidelines for Engaging Faculty in PEC,http://pec.ac.in/sites/default/files/uploads/guidelines_for_engaging_faculty_in_pec_updated.pdf
Engagement of Adjunct Faculty at PEC,http://pec.ac.in/sites/default/files/uploads/engagement_of_adjunct_faculty_at_pec_updated.pdf
Faculty/Alumni/Staff Awards,http://pec.ac.in/sites/default/files/uploads/faculty_alumni_staff_awards_updated.pdf
As Per Faculty Interests,https://pec.ac.in/research-groups-recent-interests-faculty
Research Groups as per recent interests of Faculty,http://pec.ac.in/research-groups-recent-interests-faculty
Norms for incentives for faculty undertaking Sponsored Research applicable till 30-09-2016,http://pec.ac.in/sites/default/files/uploads/norms_for_incentives_for_faculty_undertaking_sponsored_research_applicable_till_30-09-2016_dsric_updated.pdf
Incentive Form to Faculty for Undertaking Sponsored Research as per Old Norms,http://pec.ac.in/sites/default/files/uploads/incentive_form_to_faculty_as_old_norms%20_dsric_updated.pdf
Faculty,https://pec.ac.in/cc/faculty
