Link Text,URL
----,https://pec.ac.in/sites/default/files/uploads/facultyhandbook_0.pdf
----,https://pec.ac.in/sites/default/files/uploads/seniority_list_HAS_faculty_27-11-15.pdf
----,http://pec.ac.in/sites/default/files/uploads/vacation_leave_form_faculty_updated.pdf
----,http://pec.ac.in/sites/default/files/uploads/faculty_ee_18-19-revised.pdf
----,http://pec.ac.in/sites/default/files/uploads/faculty_ee_18-19.pdf
----,http://pec.ac.in/sites/default/files/uploads/faculty_pie_18-19.pdf
----,http://pec.ac.in/sites/default/files/uploads/guidelines_for_engaging_faculty_in_pec_updated.pdf
----,http://pec.ac.in/sites/default/files/uploads/engagement_of_adjunct_faculty_at_pec_updated.pdf
----,http://pec.ac.in/sites/default/files/uploads/faculty_alumni_staff_awards_updated.pdf
----,http://pec.ac.in/sites/default/files/uploads/norms_for_incentives_for_faculty_undertaking_sponsored_research_applicable_till_30-09-2016_dsric_updated.pdf
----,http://pec.ac.in/sites/default/files/uploads/incentive_form_to_faculty_as_old_norms%20_dsric_updated.pdf
----,http://pec.ac.in/sites/default/files/uploads/tada_form_for_faculty_staff_expert.pdf
