Link Text,URL
Alumni,https://alumni.pec.ac.in/
Webmail,https://pec.ac.in/institute/email-services
Jobs,https://pec.ac.in/jobs
Tenders,https://pec.ac.in/tenders
Office Orders,https://pec.ac.in/office-orders
,https://pec.ac.in/office-orders
,https://pec.ac.in/office-orders
NIRF,https://pec.ac.in/nirf-data-20
RTI,https://pec.ac.in/node/549
Placements,https://pec.ac.in/tnp/about-cell
Contact Us,https://pec.ac.in/institute-functionaries
,https://pec.ac.in/
Home,https://pec.ac.in/
Institute,https://pec.ac.in/institute
History,https://pec.ac.in/history
Vision & Mission,https://pec.ac.in/vision
Campus,https://pec.ac.in/campus
Location,https://pec.ac.in/location
News and Events,https://pec.ac.in/all_events
Tenders & Quotations,https://pec.ac.in/tenders
Balance Sheets,https://pec.ac.in/balance-sheets
Rules, Guidelines & Forms,http://pec.ac.in/rules-guidelines-forms
Faculty Affairs,https://pec.ac.in/faculty-affairs
IQAC Reports,https://pec.ac.in/institute/iqac-reports
Administration,https://pec.ac.in/administration
Board Of Governors,https://pec.ac.in/board-of-governors
Chairman, Board of Governors,https://pec.ac.in/chairman-bog
Director,https://pec.ac.in/director
Senate Members,https://pec.ac.in/senate-members
Building & Works Committee,https://pec.ac.in/building-works-committee
Finance Committee,https://pec.ac.in/finance-committee
Grievance Redressal Committee,https://pec.ac.in/grievance-redressal-committee
Institute Functionaries,https://pec.ac.in/institute-functionaries
Minutes of Meetings,https://pec.ac.in/minutes-meetings
Programmes,https://pec.ac.in/programmes
Undergraduate,https://pec.ac.in/programmes/ug/structure
Postgraduate,https://pec.ac.in/programmes/pg/structure
Doctorate,https://pec.ac.in/programmes/phd
Academic Support for Students,https://pec.ac.in/programmes/student-support
Accreditation,https://pec.ac.in/programmes/accreditation
Scholarships,https://pec.ac.in/programmes/scholarships
IQAC Reports,https://pec.ac.in/iqac/aqar-reports
E-Academic Portal,https://eakadamik.in/pec/
Admissions,https://pec.ac.in/admissions
Academic Units,https://pec.ac.in/academic-units
Departments,https://pec.ac.in/departments
Centres,https://pec.ac.in/centres
Research,https://pec.ac.in/research/overview
Overview,https://pec.ac.in/research/overview
Research Groups,https://pec.ac.in/research-groups
Sponsored Research,https://pec.ac.in/sponsored-research
In-House Projects,https://pec.ac.in/house-projects
Consultancy,https://pec.ac.in/consultancy
Courses and Conferences,https://pec.ac.in/courses-and-conferences
Young Research Fellows Programme,https://pec.ac.in/yrf/about-programme
Norms and Forms,https://pec.ac.in/norms-and-forms
Contacts,https://pec.ac.in/research/contacts
Campus Life,https://pec.ac.in/campus-life
Students,https://pec.ac.in/current-students
Facilities,https://pec.ac.in/facilities
MoU signed between PEC and Bansal EnviroTech,https://pec.ac.in/events/mou-signed-between-pec-and-bansal-envirotech
MoU signed between PEC and KISCO India Private Limited (KIPL),https://pec.ac.in/events/mou-signed-between-pec-and-kisco-india-private-limited-kipl
Homecoming 2020: First Annual Alumni Meet,https://pec.ac.in/events/homecoming-2020-first-annual-alumni-meet
Siemens Center of Excellence Inaugurated at PEC,https://pec.ac.in/events/siemens-center-excellence-inaugurated-pec
Nominations are invited for Distinguished Alumnus Award and Young Alumnus Award 2020. The nomination process closes on 30th September 2020.,https://pec.ac.in/donations/distinguished-alumnus-award
,https://pec.ac.in/events/oldest-alum-attendance-homecoming-2020
Oldest Alum at Homecoming: 2020,https://pec.ac.in/events/oldest-alum-attendance-homecoming-2020
,https://pec.ac.in/events/mou-signed-between-pec-and-peda
MOU Between PEC and PEDA,https://pec.ac.in/events/mou-signed-between-pec-and-peda
,https://pec.ac.in/events/98th-foundation-day
98th Foundation Day,https://pec.ac.in/events/98th-foundation-day
One week STC on Micro Manufacturing from 4th to 8th January, 2021,https://pec.ac.in/sites/default/files/uploads/events/STC-MMCO-2021.pdf
Chandigarh Administration has desired Shivalik Hostel to be used as a Quarantine Centre for COVID-19,https://www.pec.ac.in/sites/default/files/uploads/events/notice_shivalik_hostel_covid.pdf
Manual to Access pec.edu.in Email ID,https://pec.ac.in/sites/default/files/uploads/events/Email_Manual.pdf
As a precautionary measure against the spread of Corona Virus, teaching shall remain suspended in the institute indefinitely.,https://pec.ac.in/sites/default/files/uploads/events/corona_virus_urgent_notice.pdf
Contribute to Covid Emergency Funds,https://pec.ac.in/donations/
,https://pec.ac.in/institute/covid-19-corona-virus/notifications
Rolling Advertisement for the Temporary Engagement of Faculty Positions at the level of Assistant Professor on contract for three years.,https://pec.ac.in/jobs/job-19-7-18/details
Description, Purpose and Guidelines of the Voyager Program,https://pec.ac.in/events/voyager-program-details
Dr. Sanjeev Kumar has received the India 2020 Top Cited Paper Award,https://pec.ac.in/events/dr-sanjeev-kumar-pec-india-2020-top-cited-paper-award
